CARD,DESCRIPTION
THE FOOL UPRIGHT:,"A new path in life; beginnings and opportunities beckon. A time 
to feel hopeful, courageous, and young at heart. However, there 
may be risks ahead, too, so The Fool warns that you look before 
you leap. By all means embark upon a mad adventure or idealistic 
quest for fulfillment, but take heed of the practicalities. The Fool 
also heralds fun, entertainment, and falling in love."
THE MAGICIAN UPRIGHT:,"You are poised to make dreams become a reality. This card often 
marks the time just before an important trip, or the beginning of a 
new project that is about to flourish, symbolized by the growing 
roses and sun. The conditions for success are just right, so take 
action to empower your business, relationships, or other new venture. 
This will feel natural, all you'll be in the flow, and full of energy and 
ideas. Work will feel like a vocation rather than a chore."
HIGH PRIESTESS UPRIGHT:,"New wisdom; your intuition is expanding as you grow in confidence. 
The card often arises when you sense you are on the right path, 
creatively and spiritually. Follow your instincts toward people and 
places, and they may take you to the next level of learning. This is an 
emotional card, revealing deep feelings of work you may do in secret."
EMPRESS UPRIGHT:,"Happiness, beauty and nurturing, harmonious home. A good omen for 
relationships in terms of commitment and stability, The Empress, may 
predict marriage and pregnancy. In a younger person's reading, she can 
reveal the positive influence of a mother or mother-figure, and her 
appearance also shows good health and balanced relationships."
EMPEROR UPRIGHT:,"Protection, advice, and support are forthcoming from a trustworthy man, 
who may be a father-figure or partner. He indicates that order rules -- he 
may be authoritarian and perhaps old-fashioned, but he has strength of 
purpose, so he predicts action. Practical problems, such as with building 
work and money, will be resolved in the long term."
HIEROPHANT UPRIGHT:,"It is time to take sound advice from someone you trust. The Heirophant 
often reveals an authority figure, such as a father, teacher, or other mentor.
He symbolizes practical wisdom, so his influence can help you resolve a 
challenge. This card also denotes a spiritual dimension, so it can indicate 
that you are about to embark on a new course of learning that will bring 
you closer to your soul's purpose."
THE LOVERS UPRIGHT:,"A successful decision is to be made, which is based upon maturity and 
foresight. Previous tensions or conflicts will be resolved. As the card's 
image suggests, it's appearance in a reading can show two people 
reuniting after a period of uncertainty. It advises you to follow your heart 
and intuition if you are to take a leap toward achieving a goal. In practical 
terms, The Lovers can also reveal outgrowing an environment, such as a 
young person leaving home and taking a step toward independence. "
THE CHARIOT UPRIGHT:,"The drive for adventure. As the charioteer uses the force of his will to bring 
together everything he needs for his journey, you move on toward a new 
relationship or career, although The Chariot can also show an important journey, 
learning or drive, or a new means of transport. At this time, you show great 
determination to get where you want to go -- and you will reach your destination. 
The horses represent libido, so there is also the frisson of sexual adventure here. 
The horses, dark and white, echo the dark and light aspects of the journey ahead."
JUSTICE UPRIGHT:,"The favorable conclusion of a dispute or other ongoing concern, 
providing that your success is deserved. Legal matters are resolved, 
from claims over a property to employment issues. As a general 
influence, in a reading, Justice argues for a reasoned, pragmatic 
approach to challenges as opposed to avoidance and denial, or 
extreme responses. Balance is all."
THE HERMIT UPRIGHT:,"Circumstances dictate that you spend time alone. You seek wisdom, 
but to find it you need to distance yourself from familiar surroundings 
and perhaps certain friends or family. Time alone will create perspective, 
and encourage healing. The Hermit also shows a recuperation period 
after an illness or operation."
